product_name,price,rating,product_link,subcategory
"Late 2019 Apple MacBook Pro with 2.6GHz Intel Core i7 (16-Inch, 16GB RAM, 512GB Storage) - Silver (Renewed)",839.0,4.2,https://www.amazon.com/Apple-MacBook-16-Inch-Storage-2-6GHz/dp/B08CZT64VP/ref=sr_1_1?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.yGAoIKK5cVh1lv67ya4Rgnw1zHFe4B3fY0BkIwsjE2aVIlMX4AsjgdYF9DdXkp1j4lVqx9QIx8PfCslSuxvzs8BjB2NjQ3F65YVhO67A4QPUlZPdxv1ovp5s3CXfcKrvhMDSS3AukUiY4Xc-d8OSAfsbfjEXB-Pf3b6ku5950fIhuKUsaW8j4crQA26tYKon-qojMsfgHb172ZFnd3bpiRRRox3ZFPUg8VGug8TJsLA.6Z9KAfFuIFBFvqOpu52qhMpXGRMff3oo3QUkmg5Prdw&dib_tag=se&keywords=macbook&qid=1740822722&sprefix=macb%2Caps%2C322&sr=8-1&xpid=h062vM3nTWtUZ,Other
"Late-2018 Apple MacBook Air with Core i5 (13-inch, 8GB RAM, 256GB) (QWERTY English) Gold (Renewed)",749.0,3.9,https://www.amazon.com/Apple-MacBook-13-inch-Display-Dual-core/dp/B07KGJ3Z8H/ref=sr_1_3?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.yGAoIKK5cVh1lv67ya4Rgnw1zHFe4B3fY0BkIwsjE2aVIlMX4AsjgdYF9DdXkp1j4lVqx9QIx8PfCslSuxvzs8BjB2NjQ3F65YVhO67A4QPUlZPdxv1ovp5s3CXfcKrvhMDSS3AukUiY4Xc-d8OSAfsbfjEXB-Pf3b6ku5950fIhuKUsaW8j4crQA26tYKon-qojMsfgHb172ZFnd3bpiRRRox3ZFPUg8VGug8TJsLA.6Z9KAfFuIFBFvqOpu52qhMpXGRMff3oo3QUkmg5Prdw&dib_tag=se&keywords=macbook&qid=1740822722&sprefix=macb%2Caps%2C322&sr=8-3&xpid=h062vM3nTWtUZ,Other
"Microsoft Surface Laptop (2024), Windows 11 Copilot+ PC, 13.8"" Touchscreen Display, Snapdragon X Plus (10 core), 16GB RAM, 512GB SSD Storage, Sapphire",938.0,4.2,https://www.amazon.com/Microsoft-Surface-Touchscreen-Snapdragon-Sapphire/dp/B0CXKY7JYZ/ref=sr_1_13?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.yGAoIKK5cVh1lv67ya4Rgnw1zHFe4B3fY0BkIwsjE2aVIlMX4AsjgdYF9DdXkp1j4lVqx9QIx8PfCslSuxvzs8BjB2NjQ3F65YVhO67A4QPUlZPdxv1ovp5s3CXfcKrvhMDSS3AukUiY4Xc-d8OSAfsbfjEXB-Pf3b6ku5950fIhuKUsaW8j4crQA26tYKon-qojMsfgHb172ZFnd3bpiRRRox3ZFPUg8VGug8TJsLA.6Z9KAfFuIFBFvqOpu52qhMpXGRMff3oo3QUkmg5Prdw&dib_tag=se&keywords=macbook&qid=1740822722&sprefix=macb%2Caps%2C322&sr=8-13&xpid=h062vM3nTWtUZ,Screen Protector and External Display
"2020 Apple Mac Mini with Apple M1 Chip (8GB RAM, 256GB SSD Storage) Silver (Renewed Premium)",309.0,4.5,https://www.amazon.com/Apple-Storage-Silver-Renewed-Premium/dp/B0D6FJ1CKY/ref=sr_1_15?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.yGAoIKK5cVh1lv67ya4Rgnw1zHFe4B3fY0BkIwsjE2aVIlMX4AsjgdYF9DdXkp1j4lVqx9QIx8PfCslSuxvzs8BjB2NjQ3F65YVhO67A4QPUlZPdxv1ovp5s3CXfcKrvhMDSS3AukUiY4Xc-d8OSAfsbfjEXB-Pf3b6ku5950fIhuKUsaW8j4crQA26tYKon-qojMsfgHb172ZFnd3bpiRRRox3ZFPUg8VGug8TJsLA.6Z9KAfFuIFBFvqOpu52qhMpXGRMff3oo3QUkmg5Prdw&dib_tag=se&keywords=macbook&qid=1740822722&sprefix=macb%2Caps%2C322&sr=8-15&xpid=h062vM3nTWtUZ,Other
"ASUS 14” FHD Portable Go Laptop 2024 Flagship, Dual-Core Intel Celeron N4500 Processor, 4GB RAM, 128GB Storage (64GB eMMC+64GB SD), WiFi, 720P Webcam, 10+ Hrs Battery, Windows 11S +HubxcelAccessory",229.0,3.5,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMjg5NDE0MzA1NDY2NDE1OjE3NDA4MjI3NDY6c3BfYXRmX25leHQ6MzAwMzg2NDI3MzUyMTAyOjowOjo&url=%2FASUS-14-Go-2024-HubxcelAccessory%2Fdp%2FB0DFG8BFCF%2Fref%3Dsr_1_33_sspa%3Fcrid%3D3CHS3289UBR9B%26dib%3DeyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4%26dib_tag%3Dse%26keywords%3Dmacbook%26qid%3D1740822746%26sprefix%3Dmacb%252Caps%252C322%26sr%3D8-33-spons%26xpid%3Dh062vM3nTWtUZ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Charger and Cable
"TobenONE 18-in-2 MacBook Docking Station Dual Monitor 4K@60Hz, 150 Power Adapter, 20W Charging, USB C Docking Station with 2 HDMI&DP, 7 USB, 2.5Gbps Ethernet, 2 Audio, Dock Stand for MacBook Pro",189.0,4.8,https://www.amazon.com/TobenONE-MacBook-Docking-Charging-Ethernet/dp/B0DDBV6BG7/ref=sr_1_35?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-35&xpid=h062vM3nTWtUZ,Charger and Cable
for MacBook Pro 14 inch Case 2024-2021 M4 M3 M2 M1 Pro/Max [100% Match Official Color] A3401 A3112 A2992 A2918 A2779 A2442 Matte Cover Protective Hard Shell Case Laptop - Space Black Clear,23.0,4.3,https://www.amazon.com/MacBook-Pro-14-inch-Scientific/dp/B0CNTHHJW7/ref=sr_1_36?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-36&xpid=h062vM3nTWtUZ,Laptop Case
"TobenONE MacBook Pro Docking Station Dual 4K@60Hz Monitor, 16-in-2 USB C Docking Station Stand with 2.5Gbps Ethernet,100W GaN Power Supply, 2 HDMI&Displayport, 5 USB Ports",179.0,4.6,https://www.amazon.com/TobenONE-MacBook-Docking-Ethernet-Displayport/dp/B0D9H1KB3P/ref=sr_1_37?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-37&xpid=h062vM3nTWtUZ,Screen Protector and External Display
"Wireless Bluetooth Keyboard and Mouse for Mac, Multi-Device Rechargeable Keyboard and Mouse Stainless Steel Full Size, Compatible with MacBook Pro/Air, iPad, iMac - White Silver",47.0,4.3,https://www.amazon.com/Bluetooth-Multi-Device-Rechargeable-Stainless-Compatible/dp/B0CG9G8Y97/ref=sr_1_38?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-38&xpid=h062vM3nTWtUZ,Mouse and Keyboard
"tomtoc 360° Protective Laptop Sleeve for 13-inch MacBook Air M3/A3113 2024, M2/A2681 M1/A2337 A2179 A1932 2024-2018, 13-inch MacBook Pro M2/A2686 M1/A2338 2024-2016, Water-Resistant MacBook Case Bag",28.0,4.8,https://www.amazon.com/tomtoc-Protective-13-inch-Notebook-Accessory/dp/B01N590YOT/ref=sr_1_39?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-39&xpid=h062vM3nTWtUZ,Laptop Case
"MOSISO Compatible with MacBook Air 13 inch Case 2025 2024 2023 2022 M3 A3113 M2 A2681, Plastic Hard Shell&Keyboard Cover&Screen Film&Type C Adapter for MacBook Air 13.6 inch Case, Crystal Clear",12.0,4.3,https://www.amazon.com/MOSISO-Compatible-MacBook-Keyboard-Protector/dp/B0B7H3V2V7/ref=sr_1_40?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-40&xpid=h062vM3nTWtUZ,Screen Protector and External Display
"Kensington MP14 Magnetic MacBook Pro Privacy Screen for 14 inch MacBook Pro (2021-2024, M1, M2, M3, M4, Pro, Max), Removable Laptop Privacy Screen, Anti Glare Blue Light MacBook Mac Screen Protector",37.0,4.2,https://www.amazon.com/Kensington-MacBook-Magnetic-Privacy-Screen/dp/B0BZYKKHY8/ref=sr_1_41?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-41&xpid=h062vM3nTWtUZ,Screen Protector and External Display
"7-in-1 USB-C Hub with 100W PD, 4K HDMI, 3 USB Ports, SD/TF Card Reader - Compatible with MacBook Pro/Air, iPad, iPhone 15 and More",4.0,4.0,https://www.amazon.com/Powered-USB-C-Multiport-Hub-Adapter/dp/B0CNT7ZZ6J/ref=sr_1_42?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-42&xpid=h062vM3nTWtUZ,Charger and Cable
"MOSISO Compatible with MacBook Air 13 inch Case 2025 2024 2023 2022 M3 A3113 M2 A2681, Plastic Hard Shell&Sleeve Bag&Keyboard Skin&Webcam Cover&Screen Film for MacBook Air 13.6 inch, Baby Pink",29.0,4.4,https://www.amazon.com/MOSISO-Compatible-Carrying-Keyboard-Protector/dp/B0B9B3WG48/ref=sr_1_43?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-43&xpid=h062vM3nTWtUZ,Screen Protector and External Display
"Adjustable Computer Stand with 360 Rotating Base, Ergonimic Foldable Laptop Riser for Desk Compatible with MacBook Pro/Air Notebook up to 16 Inches, Silver",35.0,4.7,https://www.amazon.com/Adjustable-Rotating-Computer-Ergonimic-Compatible/dp/B0B1LH9RDT/ref=sr_1_44?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-44&xpid=h062vM3nTWtUZ,Other
"KLO Rechargeable Bluetooth 5.2/3.0/Type-C/USB-2.4G Mouse for MacBook/MacBook air/Pro/iPad, Wireless Mouse for Laptop/Notebook/pc/iPad/Chromebook (Black)",11.0,4.3,https://www.amazon.com/Rechargeable-Bluetooth-Laptop-Wireless-MacBook/dp/B07R22YVNP/ref=sr_1_45?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-45&xpid=h062vM3nTWtUZ,Mouse and Keyboard
"UGREEN Revodok 105 USB C Hub 5 in 1 Multiport Adapter 4K HDMI, 100W Power Delivery, 3 USB-A Data Ports, USB C Dongle for MacBook Pro/Air, iPad Pro, iMac, iPhone 15 Pro/Pro Max, XPS, Thinkpad",15.0,4.6,https://www.amazon.com/UGREEN-Delivery-Multiport-Adapter-Thinkpad/dp/B0BR3M8XHK/ref=sr_1_46?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-46&xpid=h062vM3nTWtUZ,Charger and Cable
"Mac Book Pro Charger - 120W USB C Fast Charger Adapter Compatible with MacBook Pro & MacBook Air 13, 14, 15, 16 inch, iPad Pro, Samsung Galaxy and All USB C Device",23.0,4.4,https://www.amazon.com/Mac-Book-Pro-Charger-Included/dp/B09MY5FF73/ref=sr_1_47?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-47&xpid=h062vM3nTWtUZ,Charger and Cable
"InnoView Portable Monitor, 15.6 Inch FHD 1080P HDMI USB C Second External Monitor for Laptop, Desktop, MacBook, Phones, Tablet, PS5/4, Xbox, Switch, Built-in Speaker with Protective Case",64.0,4.4,https://www.amazon.com/Portable-Monitor-InnoView-External-Protective/dp/B095GG31KX/ref=sr_1_48?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-48&xpid=h062vM3nTWtUZ,Screen Protector and External Display
"Charger for MacBook Air MacBook Pro 13 14 15 16 inch 2024 2023 2022 2021 2020, M1 M2 M3 M4 Laptop 70W USB C Power Adapter, iPad, LED, 6.6FT USB-C Cable, Charging as Fast as Original Quality",27.0,4.5,https://www.amazon.com/Charger-Adapter-Compatible-Thunderbolt-Foldable/dp/B08LVD89GV/ref=sr_1_49?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-49&xpid=h062vM3nTWtUZ,Charger and Cable
"85W Mac Book Pro Charger, Replacement AC 85w 2T-Tip Connector Power Adapter,Laptop Charger Compatible with MacBook pro & Mac Book Pro 13 inch-15 inch Retina After Mid 2012",16.0,4.3,https://www.amazon.com/NSPENCM-Charger-Replacement-Connector-Compatible/dp/B09BVKYWJ5/ref=sr_1_50?crid=3CHS3289UBR9B&dib=eyJ2IjoiMSJ9.HZ7OUOytLdj-J-Ip1hGpxoCPUeHT3iI0iWxIJRs-_tEVKIygPWrLapvURbpUVeoiUQJM93EWEFjiFpDDOZwXY15Z_NGRyB8Bsqb7Te4p4i3g1NT8Zh4PZ-H7SlfIl4763hxKE8eHBzaPFZXYdyT32RHF73E5dEkoDRi6gzbJy3pIqS2LhoxTMGz3nXNBrTMPrGMtclPcfKDn7HZm_ie7ou1vxGYUDbmhiMdQRPAedtQ.SvDOa0N6HCM0HJfVEAHCY95A8KhcZrP41hlHJCYxeq4&dib_tag=se&keywords=macbook&qid=1740822746&sprefix=macb%2Caps%2C322&sr=8-50&xpid=h062vM3nTWtUZ,Charger and Cable
